Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,14.36244147
Afghanistan,AFG,"Population ages 15-64, total",SP.POP.1564.TO,13722048
Afghanistan,AFG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.276448765
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.706938153
Albania,ALB,"Population ages 15-64, total",SP.POP.1564.TO,1963578
Albania,ALB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.214897181
Albania,ALB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Albania,ALB,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,47.426
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.600000001
Algeria,DZA,"Population ages 15-64, total",SP.POP.1564.TO,24238179
Algeria,DZA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.209223785
Algeria,DZA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Algeria,DZA,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,37.55
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.299850075
American Samoa,ASM,"Population ages 15-64, total",SP.POP.1564.TO,33669
American Samoa,ASM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.015679411
American Samoa,ASM,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
American Samoa,ASM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,47.79
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.974958
Andorra,AND,"Population ages 15-64, total",SP.POP.1564.TO,52106
Andorra,AND,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.01076637
Andorra,AND,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Andorra,AND,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.398375938
Angola,AGO,"Population ages 15-64, total",SP.POP.1564.TO,12069114
Angola,AGO,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.179762316
Angola,AGO,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Angola,AGO,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,69.98
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-7.840594744
Antigua and Barbuda,ATG,"Population ages 15-64, total",SP.POP.1564.TO,59233
Antigua and Barbuda,ATG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.046677169
Antigua and Barbuda,ATG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Antigua and Barbuda,ATG,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.12539816
Argentina,ARG,"Population ages 15-64, total",SP.POP.1564.TO,26042007
Argentina,ARG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.931712218
Argentina,ARG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Argentina,ARG,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,55.544
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.2
Armenia,ARM,"Population ages 15-64, total",SP.POP.1564.TO,2073112
Armenia,ARM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.152225186
Armenia,ARM,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Armenia,ARM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,48.961
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.733455707
Aruba,ABW,"Population ages 15-64, total",SP.POP.1564.TO,69879
Aruba,ABW,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.019932032
Aruba,ABW,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,12.82429981
Aruba,ABW,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,57.13
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.226538078
Australia,AUS,"Population ages 15-64, total",SP.POP.1564.TO,14844429
